number,title,tune
523,"God the Spirit, guide and guardian",
524,"Holy Spirit, Lord of love",
525,"I, the Lord of sea and sky",
526,For all the saints who from their labors rest,
527,There is a place of quiet rest,
528,"Give thanks for life, the measure of our days",
529,"Lord of the living, in Your name assembled",
530,"O Lord of life, where'er they be",
531,Not for tongues of heaven's angels,
532,"O God, You give humanity its name",
533,"O perfect love, all human thought transcending",
534,The grace of life is theirs,
535,"Go with us, Lord, and guide the way",
536,"Lord, make us more holy",
537,"Shalom, chaverim! (Farewell, good friends)",
538,"Lord, dismiss us with Thy blessing",
539,"Savior, again to Thy dear name we raise",
540,God be with you till we meet again,
541,Now the day is over,
542,"All praise to Thee, my God, this night",
543,Abide with me: fast falls the eventide,
544,"Day is done, but love unfailing",
545,"Now, on land and sea descending",
546,"The day Thou gavest, Lord, is ended",
547,Ngayong nagda dapit hapon (When twilight comes and the sun sets),
548,"O radiant light, O Sun divine",
549,"O gladsome light, O grace",
550,O Light whose splendor thrills and gladdens,
551,"Come, ye thankful people, come",
552,"Give thanks, O Christian people",
553,For the fruit of all creation,
554,Let all things now living,
555,Now thank we all our God,
556,The world abound with God's free grace,
557,¿Con qué pagaremos (O what shall I render),
558,"Come, sing a song of harvest",
559,We gather together to ask the Lord's blessing,
560,We plow the fields and scatter,
561,"My country, 'tis of thee",
562,"Eternal Father, strong to save",
563,Lift every voice and sing,
564,O beautiful for spacious skies,
565,"Lord, have mercy",
566,Glory to God in the highest,
567,Glory to the Father,
568,"Holy, holy, holy Lord",
569,"Christ has died, Christ is risen",
570,"Amen, Amen, Amen",
571,"Our Father in heaven, hallowed be Your name",
572,"Lord, have mercy upon us",
573,"Lord, have mercy",
574,"Lord, have mercy upon us",
575,Glory to God in the highest,
576,"Gloria, gloria, in excelsis Deo",
577,Glory be to the Father,
578,Glory be to the Father,
579,Glory be to the Father,
580,"Holy, holy, holy",
581,"Holy, holy, holy Lord",
582,"Dying, You destroyed our death",
583,"Amen, Amen, Amen",
584,"Amen, Amen",
585,"Amen, Amen, Amen",
586,"Amen, Amen, Amen",
587,"Amen, Amen, Amen, Amen, Amen",
588,"Amen, Amen, Amen",
589,"Our Father, which art in heaven",
590,"Our Father, Lord of heaven and earth",
591,"Praise God, from whom all blessings flow",
592,"Praise God, from whom all blessings flow",
593,"Praise God, from whom all blessings flow",
594,"Worthy is Christ, the Lamb who was slain",
595,Heleluyan (Alleluia),
596,"May the Lord, mighty God",
597,"Bless the Lord, O my soul",
598,This is the good news which we received,
599,"Jesus, remember me",
600,My soul gives glory to my God,
601,Blest be the God of Israel,
602,Blest be the God of Israel,
603,"Lord, bid Your servant go in peace",
604,"Lord God, You now have set Your servant free",
605,"Now may Your servant, Lord",
